FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6c8,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T07:00:00,2025-04-14T08:00:00,8.41,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499218098,1038627,244641,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6c9,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T08:00:00,2025-04-14T09:00:00,7.61,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499228593,1038627,244642,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6ca,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T09:00:00,2025-04-14T10:00:00,9.54,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499246913,1038627,244643,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6cb,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T10:00:00,2025-04-14T11:00:00,9.6,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499285563,1038627,244644,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6cc,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T11:00:00,2025-04-14T12:00:00,10.11,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499301351,1038627,244645,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6cd,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T12:00:00,2025-04-14T13:00:00,7.9,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499311700,1038627,244646,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6ce,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-13T22:00:00,2025-04-13T23:00:00,8.09,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499155197,1038627,244647,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6cf,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-13T23:00:00,2025-04-14T00:00:00,9.87,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499158642,1038627,244648,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d0,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T00:00:00,2025-04-14T01:00:00,5.81,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499166979,1038627,244649,0,6,Metodo Automatico,Chemiluminescence
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_6d1,ENIPOWER,PERRINO,PUGLIA,249959,IT2137A,Brindisi,rione perrino,POINT (17.95472 40.63139),40.63139,17.95472,20,8,Nitrogen dioxide (air),NO2,SPO.IT2137A_8_chemi_2014-01-01_00:00:00,SPP.IT2137A_8_chemi_2014-01-01_00:00:00,SAM.IT2137A_8_chemi_2014-01-01_00:00:00,2025-04-14T13:00:00,2025-04-14T14:00:00,6.67,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499322774,1038627,244650,0,6,Metodo Automatico,Chemiluminescence
