FID,network_name,station_name,region_name,station_id,station_eu_code,municipality_name,station_municipality,station_position,station_lat,station_lon,station_altitude,pollutant_id,pollutant_label,pollutant_notation,spo_local_id,spp_local_id,sam_local_id,data_record_start_time,data_record_end_time,data_record_value,observation_unit_notation,observation_unit_label,primary_observation_notation,primary_observation_label,data_record_id,sampling_point_id,row_id,flag_cur_snapshot,pollutant_level,measurement_type_label,measurement_method_label
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4857,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-13T22:00:00,2025-04-13T23:00:00,0.25,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499158699,1038441,232684,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4856,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-13T23:00:00,2025-04-14T00:00:00,0.24,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499167071,1038441,232685,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4855,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T12:00:00,2025-04-14T13:00:00,0.17,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499322701,1038441,232686,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4854,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T13:00:00,2025-04-14T14:00:00,0.19,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499337123,1038441,232687,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4853,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T14:00:00,2025-04-14T15:00:00,0.16,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499343434,1038441,232688,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4852,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T15:00:00,2025-04-14T16:00:00,0.16,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499350653,1038441,232689,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4851,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T16:00:00,2025-04-14T17:00:00,0.13,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499360871,1038441,232690,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-4850,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T17:00:00,2025-04-14T18:00:00,0.11,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499369532,1038441,232691,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-484f,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T18:00:00,2025-04-14T19:00:00,0.14,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499385427,1038441,232692,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
dati_nrt_informambiente_mv.fid--18c43834_1963fbf0368_-484e,REGIONE PUGLIA,taranto MACHIAVELLI,PUGLIA,249926,IT1611A,Taranto,via machiavelli,POINT (17.22583 40.48861),40.48861,17.22583,10,20,Benzene (air),C6H6,SPO.IT1611A_20_GC-FID_2004-05-01_00:00:00,SPP.IT1611A_20_GC-FID_2004-05-01_00:00:00,SAM.IT1611A_20_GC-FID_2004-05-01_00:00:00,2025-04-14T19:00:00,2025-04-14T20:00:00,0.17,µg/m3,Micrograms per cubic meter,hour,Hourly average/mean,499388063,1038441,232693,0,6,Metodo Automatico,Gas chromatography followed by flame ionization detection (GC-FID)
